State,Number of Games,Year
VIC,57,2022
QLD,22,2022
NSW,22,2022
WA,10,2022
SA,7,2022
ACT,8,2022
Tas,5,2022
NT,1,2022
VIC,31,2023
QLD,8,2023
NSW,11,2023
WA,17,2023
SA,12,2023
ACT,4,2023
Tas,3,2023
NT,0,2023
VIC,38,2024
QLD,19,2024
NSW,12,2024
WA,6,2024
SA,8,2024
ACT,2,2024
Tas,4,2024
NT,1,2024
VIC,64,2021
QLD,13,2021
NSW,20,2021
WA,0,2021
SA,13,2021
ACT,2,2021
Tas,4,2021
NT,2,2021
VIC,41,2020
QLD,13,2020
NSW,19,2020
WA,6,2020
SA,8,2020
ACT,4,2020
Tas,1,2020
NT,1,2020


